,Credit Available for PV,0,LSC $,,,,,,,,,,,,,,,,
,Final PV Credit,0,LSC $/ft2-yr,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Zonal Control,No,,,,,,,,,,,,,,,,,
,Envelope Infiltration (ACH @ 50 Pa),5,,,,,,,,,,,,,,,,,
,Envelope Infiltration (CFM @ 50 Pa),226.667,,,,,,,,,,,,,,,,,
,Quality Insulation Installation,No,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Exterior Walls:, Name, Zone, Status, Type, Orientation (deg), Area (ft2), Window Area (ft2),Door Area (ft2), Tilt (deg), Framing Factor, ,,,,,,,
,,N Wall,ADU,New,R-21 Wall,343,136,6,18.9,90,0.25,,,,,,,,
,,E Wall,ADU,New,R-21 Wall,73,170,0,0,90,0.25,,,,,,,,
,,S Wall,ADU,New,R-21 Wall,163,136,52,0,90,0.25,,,,,,,,
,,W Wall,ADU,New,R-21 Wall,253,170,6,0,90,0.25,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Windows:, Name, Wall, Status, Azimuth (deg), Height (ft), Width (ft), Multiplier, Area (ft2),U-factor, SHGC, Ext. Shade, ,,,,,,
,,G03 (3020),N Wall,New,343,,,1,6,0.3,0.23,Insect Screen (default),,,,,,,
,,D03 (6068),S Wall,New,163,,,1,40,0.32,0.21,Insect Screen (default),,,,,,,
,,G02 (4030),S Wall,New,163,,,1,12,0.3,0.23,Insect Screen (default),,,,,,,
,,G01 (3020),W Wall,New,253,,,1,6,0.3,0.23,Insect Screen (default),,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ext. Wall Constructions:, Name, Type, Total Cavity Rvalue, Total Thickness, Winter Design Uvalue, Layers:, ,,,,,,,,,,,
,,R-21 Wall,Wood Framed Wall,21,6.25,0.068,Inside Finish: Gypsum Board,,,,,,,,,,,,
,,,,,,,Cavity / Frame: R-21 / 2x6,,,,,,,,,,,,
,,,,,,,Exterior Finish: All Other Siding,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Cathedral Ceilings:, Name, Zone, Status, Type, Orientation, Area (ft2), Roof Rise (x in 12), Roof Pitch, Roof Tilt (deg), Roof Reflectance, Roof Emittance, Framing Factor, ,,,,,
,,Roof Rafter,ADU,New,R-38 Roof No Attic,73,160,4,0.333,18.435,0.1,0.85,0.1,,,,,,
,,Roof Rafter 2,ADU,New,R-38 Roof No Attic,253,160,4,0.333,18.435,0.1,0.85,0.1,,,,,,
,,,,,,,,,,,,,,,,,,,
,Cathedral Ceiling Constructions:, Name, Type, Total Cavity Rvalue, Total Thickness, Winter Design Uvalue,  Layers:, ,,,,,,,,,,,
,,R-38 Roof No Attic,Wood Framed Ceiling,38,12.45,0.03,Roofing: Light Roof (Asphalt Shingle),,,,,,,,,,,,
,,,,,,,Roof Deck: Wood Siding/sheathing/decking,,,,,,,,,,,,
,,,,,,,Cavity / Frame: R-38 / 2x12,,,,,,,,,,,,
,,,,,,,Inside Finish: Gypsum Board,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Slab Floors:, Name, Zone, Status, Area (ft2), Perimeter (ft),Edge Insul. Rvalue, Carpeted Fraction, Heated, ,,,,,,,,,
,,Slab-on-Grade,ADU,New,320,72,0,0.8,No,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Zone Name,ADU,,,,,,,,,,,,,,,,,
,Zone Type,Conditioned,,,,,,,,,,,,,,,,,
,Zone Status,New,,,,,,,,,,,,,,,,,
,Zone Floor Area,320,ft2,,,,,,,,,,,,,,,,
,Zone Ceiling Height,8.5,ft,,,,,,,,,,,,,,,,
,Zone Stories,1,,,,,,,,,,,,,,,,,
,Zone Volume,2720,ft3,,,,,,,,,,,,,,,,
,Zone Exterior Wall Area,612,ft2,,,,,,,,,,,,,,,,
,Zone Exterior Wall Door Area,18.9,ft2,,,,,,,,,,,,,,,,
,Zone Ceiling Below Attic Area,0,ft2,,,,,,,,,,,,,,,,
,Zone Cathedral Ceiling Area,320,ft2,,,,,,,,,,,,,,,,
,Zone Slab Floor Area,320,ft2,,,,,,,,,,,,,,,,
,Zone Exterior Floor Area,0,ft2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Water Heating System Data:, Status, Type, Water Heaters:, Fuel, Tank, Volume (gal), Energy Factor, Input Rating,, Int. Insul. RValue, Ext. Insul. Rvalue, Standby Loss,Make & Model,Tank Location,Rated Flow,First Hour Rating,Recovery Efficiency, 
,DHW Sys 1,New,Point of use,DHW Heater 1,Electric Resistance,Consumer Instantaneous (UEF),0,0.98,8000,watts,0,0,0,,,3,,,
,,,,,,,,,,,,,,,,,,,
,HVAC System Data:,  Status, Type,,,,,,,,,,,,,,,,
,Ductless Heat Pump1,New,Heat Pump,,,,,,,,,,,,,,,,
,,Heat Pump (Heating):, Type, HSPF, Cap47, Cap 17, Aux. Htg. Capacity, Ducted,,,,,,,,,,,
,,Heat Pump System 1,SplitHeatPump,8,12000,7200,-99996,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Heat Pump (Cooling):, Type, SEER2, EER2, CFM/Ton, AC Charge, Ducted,,,,,,,,,,,
,,Heat Pump System 1,SplitHeatPump,14,11.7,350,Not  Verified,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Distribution System:, Type, Percent Leakage, Insulation R-Value, Supply Area (ft2), Supply Dia (in), Return Area (ft2), Return Dia (in), Bypass Duct,,,,,,,,,
,,Air Distribution System 1,DuctsInAll,5,8,No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Compliance Manager Version:,,BEMCmpMgr 2025.1.0 (2600),,,,,,,,,,,,,,,,,
Software Version:,,EnergyPro 10.0,,,,,,,,,,,,,,,,,
