,Credit Available for PV,0,LSC $,,,,,,,,,,,,,,,,
,Final PV Credit,0,LSC $/ft2-yr,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Zonal Control,No,,,,,,,,,,,,,,,,,
,Envelope Infiltration (ACH @ 50 Pa),5,,,,,,,,,,,,,,,,,
,Envelope Infiltration (CFM @ 50 Pa),497.333,,,,,,,,,,,,,,,,,
,Quality Insulation Installation,No,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Exterior Walls:, Name, Zone, Status, Type, Orientation (deg), Area (ft2), Window Area (ft2),Door Area (ft2), Tilt (deg), Framing Factor, ,,,,,,,
,,N Wall,ADU,New,R-21 Wall,14,205,24,0,90,0.25,,,,,,,,
,,E Wall,ADU,New,R-21 Wall,104,309,28,0,90,0.25,,,,,,,,
,,S Wall,ADU,New,R-21 Wall,194,205,40,0,90,0.25,,,,,,,,
,,W Wall,ADU,New,R-21 Wall,284,309,49,20,90,0.25,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Windows:, Name, Wall, Status, Azimuth (deg), Height (ft), Width (ft), Multiplier, Area (ft2),U-factor, SHGC, Ext. Shade, ,,,,,,
,,3040 HS,N Wall,New,14,,,1,12,0.3,0.23,Insect Screen (default),,,,,,,
,,3040 HS 2,N Wall,New,14,,,1,12,0.3,0.23,Insect Screen (default),,,,,,,
,,4040 HS,E Wall,New,104,,,1,16,0.3,0.23,Insect Screen (default),,,,,,,
,,3040 HS 3,E Wall,New,104,,,1,12,0.3,0.23,Insect Screen (default),,,,,,,
,,6068,S Wall,New,194,,,1,40,0.32,0.22,Insect Screen (default),,,,,,,
,,3030 HS,W Wall,New,284,,,1,9,0.3,0.23,Insect Screen (default),,,,,,,
,,3040 HS 4,W Wall,New,284,,,1,12,0.3,0.23,Insect Screen (default),,,,,,,
,,3040 HS 5,W Wall,New,284,,,1,12,0.3,0.23,Insect Screen (default),,,,,,,
,,4040 HS 2,W Wall,New,284,,,1,16,0.3,0.23,Insect Screen (default),,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ext. Wall Constructions:, Name, Type, Total Cavity Rvalue, Total Thickness, Winter Design Uvalue, Layers:, ,,,,,,,,,,,
,,R-21 Wall,Wood Framed Wall,21,6.875,0.069,Inside Finish: Gypsum Board,,,,,,,,,,,,
,,,,,,,Cavity / Frame: R-21 / 2x6,,,,,,,,,,,,
,,,,,,,Exterior Finish: 3 Coat Stucco,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Attic:, Name, Status, Type, Floor Area (ft2), Roof Rise, Roof Reflectance, Roof Emittance, Roof Framing Factor, ,,,,,,,,,
,,Attic ADU,New,Attic RoofADU,746,5,0.1,0.85,0.07,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Attic Constructions:, Name, Type, Total Cavity Rvalue, Total Thickness, Winter Design Uvalue, Radiant Barrier, Layers:, ,,,,,,,,,,
,,Attic RoofADU,Wood Framed Ceiling,0,4.2,0.644,No,Roofing: Light Roof (Asphalt Shingle),,,,,,,,,,,
,,,,,,,,Roof Deck: Wood Siding/sheathing/decking,,,,,,,,,,,
,,,,,,,,Cavity / Frame: no insul. / 2x4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ceiling Below Attic:, Name, Zone, Status, Type, Area (ft2), Attic Edge Length (ft), Attic Edge Area (ft2), ,,,,,,,,,,
,,Roof Attic,ADU,New,R-30 Roof Attic,746,76.48,122.95,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ceiling Below Attic Constructions:, Name, Type, Total Cavity Rvalue, Total Thickness, Winter Design Uvalue, Layers:, ,,,,,,,,,,,
,,R-30 Roof Attic,Wood Framed Ceiling,30,12.038,0.032,Over Ceiling Joists: R-20.9 insul.,,,,,,,,,,,,
,,,,,,,Cavity / Frame: R-9.1 / 2x4,,,,,,,,,,,,
,,,,,,,Inside Finish: Gypsum Board,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Slab Floors:, Name, Zone, Status, Area (ft2), Perimeter (ft),Edge Insul. Rvalue, Carpeted Fraction, Heated, ,,,,,,,,,
,,Slab-on-Grade,ADU,New,746,112,0,0,No,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Zone Name,ADU,,,,,,,,,,,,,,,,,
,Zone Type,Conditioned,,,,,,,,,,,,,,,,,
,Zone Status,New,,,,,,,,,,,,,,,,,
,Zone Floor Area,746,ft2,,,,,,,,,,,,,,,,
,Zone Ceiling Height,8,ft,,,,,,,,,,,,,,,,
,Zone Stories,1,,,,,,,,,,,,,,,,,
,Zone Volume,5968,ft3,,,,,,,,,,,,,,,,
,Zone Exterior Wall Area,1028,ft2,,,,,,,,,,,,,,,,
,Zone Exterior Wall Door Area,20,ft2,,,,,,,,,,,,,,,,
,Zone Ceiling Below Attic Area,746,ft2,,,,,,,,,,,,,,,,
,Zone Cathedral Ceiling Area,0,ft2,,,,,,,,,,,,,,,,
,Zone Slab Floor Area,746,ft2,,,,,,,,,,,,,,,,
,Zone Exterior Floor Area,0,ft2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Water Heating System Data:, Status, Type, Water Heaters:, Fuel, Tank, Volume (gal), Energy Factor, Input Rating,, Int. Insul. RValue, Ext. Insul. Rvalue, Standby Loss,Make & Model,Tank Location,Rated Flow,First Hour Rating,Recovery Efficiency, 
,DHW Sys 1,New,Standard,DHW Heater 1,Heat Pump,NA,40,NEEA Rated,NA,watts,NA,NA,NA,Rheem / PROPH40 T2 RH400-15  (40 gal),outside,,,,
,,,,,,,,,,,,,,,,,,,
,HVAC System Data:,  Status, Type,,,,,,,,,,,,,,,,
,Ductless Heat Pump1,New,Heat Pump,,,,,,,,,,,,,,,,
,,Heat Pump (Heating):, Type, HSPF, Cap47, Cap 17, Aux. Htg. Capacity, Ducted,,,,,,,,,,,
,,Heat Pump System 1,SplitHeatPump,8,24000,16800,-99996,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Heat Pump (Cooling):, Type, SEER2, EER2, CFM/Ton, AC Charge, Ducted,,,,,,,,,,,
,,Heat Pump System 1,SplitHeatPump,14,11.7,350,Not  Verified,Yes,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Distribution System:, Type, Percent Leakage, Insulation R-Value, Supply Area (ft2), Supply Dia (in), Return Area (ft2), Return Dia (in), Bypass Duct,,,,,,,,,
,,Air Distribution System 1,DuctsInAll,5,8,No,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Compliance Manager Version:,,BEMCmpMgr 2025.1.0 (2600),,,,,,,,,,,,,,,,,
Software Version:,,EnergyPro 10.0,,,,,,,,,,,,,,,,,
